ED,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48,St49,St50,St51,St52,St53,St54
134,CONSELYEA,GRAHAM AVE,HUMBOLDT,JACKSON,LEONARD,MANHATTAN AVE,SKILLMAN AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,BAYARD,DRIGGS AVE,ENGERT AVE,FROST,JACKSON,JANE,LEONARD,LORIMER,NEWTON,ORCHARD,RICHARDSON,UNION AVE,VAN PELT AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,CONSELYEA,JACKSON,LEONARD,LORIMER,METROPOLITAN AVE,SKILLMAN AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,BROADWAY,HOOPER,KEAP,RODNEY,S 3,S 4,S 5,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,9,HEWES,HOOPER,KEAP,S 2,S 3,S 4,STAGG,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,BOERUM,BROADWAY,HEWES,JOHNSON AVE,LORIMER,MC KIBBIN,MONTROSE AVE,S 5,THROOP AVE,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,BROADWAY,HEWES,HOOPER,LORIMER,MESEROLE,MONTROSE AVE,S 4,S 5,SCHOLES,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,LEONARD,LORIMER,SCHOLES,STAGG,TEN EYCK,UNION AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,BOERUM,JOHNSON AVE,LEONARD,LORIMER,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,GRAHAM AVE,LEONARD,MANHATTAN AVE,SCHOLES,STAGG WALK,TEN EYCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,GRAHAM AVE,LEONARD,MANHATTAN AVE,MESEROLE,MONTROSE AVE,SCHOLES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,MESEROLE,MONTROSE AVE,SCHOLES,STAGG WALK,TEN EYCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,BUSHWICK AVE,BUSHWICK PL,HUMBOLDT,MESEROLE,MONTROSE AVE,SCHOLES,STAGG,STAGG WALK,TEN EYCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,BOERUM,BUSHWICK AVE,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MONTROSE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,BOERUM,BUSHWICK AVE,BUSHWICK PL,GRAHAM AVE,HUMBOLDT,JOHNSON AVE,MC KIBBIN,MONTROSE AVE,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,BOERUM,BROADWAY,GRAHAM AVE,LEONARD,LORIMER,MANHATTAN AVE,MC KIBBIN,SEIGEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,BOERUM,GRAHAM AVE,JOHNSON AVE,LEONARD,MANHATTAN AVE,MC KIBBIN,MONTROSE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,BROADWAY,COOK,DE BEVOISE,GRAHAM AVE,LEONARD,MANHATTAN AVE,MOORE,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,COOK,GRAHAM AVE,HUMBOLDT,MANHATTAN AVE,MOORE,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,BUSHWICK AVE,COOK,HUMBOLDT,MOORE,MORRELL,SEIGEL,VARET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,BROADWAY,BUSHWICK AVE,COOK,DE BEVOISE,FLUSHING AVE,GRAHAM AVE,HUMBOLDT,MORRELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,ANN,BAY,BELL,BLUE,BOX,CLAY,COMMERCIAL,DUPONT,EAGLE,FRANKLIN,MANHATTAN AVE,OAKLAND,PINK,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,ASH,BOX,BRANT,CLAY,DUCK,DUPONT,EAGLE,MANHATTAN AVE,OAKLAND,PAIDGE AVE,PEQUOD,PROVOST,RANTON,SETAUKET,SHAWNET,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,EAGLE,FREEMAN,GREEN,GREENE,HENRY PL,HOLLAND,LEYDEN,MANHATTAN AVE,N HENRY,OAKLAND,PAIDGE,PAIDGE AVE,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,EMERY,GREEN,GREENE,GREENPOINT AVE,HURON,INDIA,JAVA,KINGLAND AVE,LEYDEN,MANHATTAN AVE,N HENRY,OAKLAND,PAIDGE AVE,PROVOST,SUTTON AVE,WALLOCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,GREENPOINT AVE,JAVA,KENT,MANHATTAN AVE,N HENRY,OAKLAND,PROVOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,CALVER,CALYER,CHARLICK,DIAMOND,ECKFORD,FRONT,GREENPOINT AVE,HUMBOLDT,JEWELL,KINGLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MONITOR,MOULTRIE,N HENRY,NEWELL,OAKLAND,RUSSELL,SUTTON,SUTTON AVE,VAIL,WRIGHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,APOLLO,BRIDGEWATR,CHARLICK,DIAMOND,ECKFORD,FRONT,HAUSMAN,HUMBOLDT,JEWELL,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MESEROLE AVE,MONITOR,MORGAN AVE,MOULTRIE,N HENRY,NEWELL,NORMAN,OAKLAND,POLLOCK,RUSSELL,SUTTON,WEBSTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,APOLLO,BRIDGEWATR,DIAMOND,ECKFORD,HAUSMAN,HUMBOLDT,JEWELL,KINGSLAND AVE,LAKE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,MOROE,MOULTRIE,N HENRY,NASSAU AVE,NEWELL,NORMAN,OAKLAND,RUSSELL,SUTTON,VAN DAM,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,EAGLE,FRANKLIN,FREEMAN,GREEN,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,FRANKLIN,GREEN,HURON,INDIA,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,FRANKLIN,INDIA,JAVA,KENT,MANHATTAN AVE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,FRANKLIN,GREENPOINT AVE,KENT,MANHATTAN AVE,MILTON,NOBLE,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,CALYER,FRANKLIN,GOURNSEY,LORIMER,MANHATTAN AVE,NOBLE,OAK,WEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,BANKER,BEDFORD AVE,CALYER,DOBBIN,DRIGGS AVE,FRANKLIN,GEM,GUERNSEY,LORIMER,MANHATTAN AVE,MESEROLE AVE,N 14,N 15,NASSAU AVE,NORMAN,NORMAN AVE,QUAY,WEST,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,APOLLO,DIAMOND,DRIGGS AVE,ECKFORD,HAUSMAN,HUMBOLDT,KINGLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NASSAU AVE,NEWELL,OAKLAND,RUSSELL,SUTTON,VAN COTT AVE,VAN DAM,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,BAYARD,BROOME,DRIGGS AVE,ECKFORD,GRAHAM AVE,HUMBOLDT,KINGSLAND AVE,LEONARD,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,NEWTON,RICHARDSON,RUSSELL,SUTTON,VAN COTT AVE,VAN PELT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,AMOS,ANTHONY,BANZETT,BEADEL,BENNETT,CHERRY,DIVISION PL,FROST,GARDENER AVE,GARDNER AVE,GRAHAM AVE,HEBERT,HUMBOLDT,KINGLAND AVE,KINGSLAND AVE,LOMBARDY,MANHATTAN AVE,MEEKER AVE,MONITOR,MORGAN AVE,N HENRY,PORTER AVE,RICHARDSON,SCOTT AVE,STEWART AVE,THOMAS,TOWNSEND,VANDERVORT AVE,VARICK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,BANZETT,BENNETT,BENTON,BULLION,DIVISION PL,FROST,GARDENER AVE,HUMBOLDT,JACKSON,KINGLAND AVE,KINGSLAND AVE,MASPETH AVE,MORGAN AVE,OLD WOOD POINT RD,PARKER,PARKERST,SCOTT AVE,SENECA AVE,SKILLMAN,SKILLMAN AVE,STEWART AVE,VANDERVORT AVE,VARICK AVE,WITHERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,BUSHWICK AVE,CALHOUN,CATHERINE,DEVOE,DICKINSON,GARDNER AVE,GRAND,GUILFORD,HUMBOLDT,JUDGE,MASPETH AVE,METROPOLITAN AVE,METROPOLITAN AVE BRG,MILL,MORGAN AVE,OLIVE,ORIENT AVE,PORTER AVE,POWERS,SCOTT AVE,SENECA AVE,SHARON,STEWART,STEWART AVE,VANDENVOORT AVE,VANDERVOORT AVE,VANDERVORT AVE,VARICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,AGATE,BOERUM,BOGART,BUSHWICK AVE,BUSHWICK PL,COOK,EVERGREEN AVE,FLUSHING AVE,GARDNER AVE,GRAND,GRATTAN,HARRISON,HARRISON PL,INGRAHAM,INGRAHM,IRVING AVE,JOHNSON AVE,LAGRANGE,MAUJER,MC KIBBIN,MEADOW,MESEROLE,METROPOLITAN AVE,METROPOLITAN AVE BRG,MONTROSE AVE,MOORE,MORGAN AVE,PORTER AVE,RANDOLPH,ROCK,SCHOLES,SCOTT AVE,SEIGEL,SENECA AVE,STAGG,STEWART AVE,TEN EYCK,TENEYCK,THAMES,VANDENVOORT AVE,VARET,VARICK,VARICK AVE,WATERBURN,WATERBURY,WHITE,NA,NA,NA,NA,NA,NA,NA,NA
175,CENTRAL AVE,CYPRESS AVE,EVERGREEN AVE,FLUSHING AVE,FORREST,GEORGE,GRATTAN,HAMBURG AVE,IRVING AVE,JEFFERSON,KNICKERBOCKER AVE,MELROSE,PETERS PL,PROSPECT,SAINT NICHOLASS AVE,SCOTT AVE,TROUTMAN,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,ADAMS,BEAVER,BELVIDERE,BREMEN,BROADWAY,BURR PL,BUSHWICK AVE,ELLERY,EVERGREEN AVE,FLUSHING AVE,FORREST,GARDEN,JEFFERSON,LAFAYETTE,LOCUST,MONTIETH,MYRTLE AVE,PARK,PROSPECT,TROUTMAN,YATES PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,BROADWAY,BUSHWICK AVE,CEDAR,CENTRAL AVE,CYPRESS AVE,DE KALB AVE,DODSWORTH,ELM,EVERGREEN AVE,HAMBURG AVE,HART,IRVING AVE,KNICKERBOCKER AVE,KOSCIUSZKO,LAWTON,MYRTLE AVE,SAINT NICHOLASS AVE,STANHOPE,STOCKHOLM,SUYDAM,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,BROADWAY,BUSHWICK AVE,CENTRAL AVE,CHARLES PL,CYPRESS AVE,DITMARS AVE,EVERGREEN AVE,HAMBURG AVE,IRVING AVE,KNICKERBOCKER AVE,MYRTLE,MYRTLE AVE,SAINT NICHOLASS AVE,STARR,SUYDAM,TROUTMAN,WILLOUGHBY AVE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,ABERDEEN,BROADWAY,BROADWAY AVE,BUSHWICK AVE,CACTUS PL,CEMETERY LN,CENTRAL AVE,CHAUNCEY,CONWAY,COOPER,CORNELIA,COVERT,DAHLIA,DECATUR,DURYEA,ELDERT,EVERGREEN,EVERGREEN AVE,EVERGREEN PL,FAIRFAX,FANCHON PL,FURMAN AVE,GILLEN PL,GRANITE,HAMBURG,HAMBURG AVE,HIGHLAND BLVD,HULL,IRVING AVE,IVY,JACOB,KNICKERBOCKER AVE,MARGARITA,MOFFAT,NEW JERSEY AVE,PELLINGTON,PELLINGTON PL,PILLING,SCHAEFER,STEWART,VAN VORHEES,VANDERVEER,VIGELIUS,WEIRFIELD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,BLEECKER,BROADWAY,BUSHWICK AVE,CENTRAL AVE,CENTRAL PL,EVERGREEN AVE,GREENE AVE,GROVE,HAMBURG AVE,HARMAN,HIMROD,HOWARD AVE,IRVING AVE,IVY,KNICKERBOCKER AVE,KOSCIUSZKO,KOSSUTH PL,LAFAYETTE AVE,LINDEN,MAGNOLIA,MONROE,MYRTLE AVE,PALMETTO,RALPH,SAINT NICHOLASS AVE,STANHOPE,STOCKHOLM,VAN BUREN,WOODBINE,WYCKOFF AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,BARTLETT,BROADWAY,FLUSHING AVE,GERRY,HARRISON AVE,MARCY AVE,THORNTON,THROOP AVE,WALLABOUT,WHIPPLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,BEDFORD AVE,BROADWAY,FLUSHING AVE,GWINNETT,HARRISON AVE,LEE AVE,LORIMER,MARCY AVE,MIDDLETON,THROOP AVE,WALLABOUT,WALTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,BEDFORD AVE,BROADWAY,FLUSHING AVE,FRANKLIN AVE,HARRISON AVE,HEYWARD,LEE AVE,LYNCH,MARCY AVE,MIDDLETON,RUTLEDGE,THROOP AVE,WALLABOUT,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,BEDFORD AVE,BROADWAY,HARRISON AVE,HEWES,LEE AVE,MARCY AVE,PENN,RUTLEDGE,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,BEDFORD AVE,BROADWAY,DIVISION AVE,HARRISON AVE,HEWES,HOOPER,KEAP,LEE AVE,MARCY AVE,PENN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,BEDFORD AVE,BROADWAY,DIVISION AVE,KEAP,LEE AVE,MARCY AVE,RODNEY,ROSS,S 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,BEDFORD AVE,DIVISION AVE,DRIGGS AVE,HAVEMEYER,LEE AVE,MARCY AVE,ROEBLING,ROSS,S 9,TAYLOR,WILSON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,BEDFORD AVE,BERRY,CLYMER,DIVISION AVE,LEE AVE,MORTON,RUSH,S 11,TAYLOR,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,BEDFORD AVE,HEWES,HOOPER,KEAP,RODNEY,ROSS,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,CLASSON AVE,CLYMER,FLUSHING AVE,FRANKLIN AVE,HEWES,HEYWARD,HOOPER,KEAP,KENT AVE,PENN,RODNEY,ROSS,RUTLEDGE,TAYLOR,WALLABOUT,WASHINGTON AVE,WILLIAMSBURG RD,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,BEDFORD AVE,CLYMER,DIVISION AVE,KENT AVE,MORTON,RUSH,TAYLOR,WILSON,WYTHE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
