ED,St1,St2,St3,St4,St5,St6,St7,St8,St9,St10,St11,St12,St13,St14,St15,St16,St17,St18,St19,St20,St21,St22,St23,St24,St25,St26,St27,St28,St29,St30,St31,St32,St33,St34,St35,St36,St37,St38,St39,St40,St41,St42,St43,St44,St45,St46,St47,St48,St49,St50,St51,St52,St53,St54
192,CUMBERLAND,FLUSHING AVE,MYRTLE AVE,N OXFORD,N PORTLAND AVE,PARK AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,CARLTON AVE,CUMBERLAND,FLUSHING AVE,MYRTLE AVE,PARK AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,ADELPHI,CARLTON AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,ADELPHI,CLERMONT AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,CLERMONT AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,VANDERBILT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,CLINTON AVE,FLUSHING AVE,MYRTLE AVE,PARK AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,CLERMONT AVE,CLINTON AVE,DE KALB AVE,MYRTLE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,ADELPHI,CARLTON AVE,CLERMONT AVE,CUMBERLAND,DE KALB AVE,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,ADELPHI,CARLTON AVE,CLERMONT AVE,CLINTON AVE,CUMBERLAND,DE KALB AVE,LAFAYETTE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,CUMBERLAND,DE KALB AVE,FULTON,HANSON PL,LAFAYETTE AVE,S OXFORD,S PORTLAND AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,CARLTON AVE,CUMBERLAND,FULTON,GREENE AVE,HANSON PL,LAFAYETTE AVE,S OXFORD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,ADELPHI,CARLTON AVE,CLERMONT AVE,CUMBERLAND,FULTON,GREENE AVE,LAFAYETTE AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,ADELPHI,CLERMONT AVE,CLINTON AVE,FULTON,GATES AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,CLERMONT AVE,CLINTON AVE,FULTON,GATES AVE,GREENE AVE,LAFAYETTE AVE,VANDERBILT AVE,WASHINGTON AVE,WAVERLY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,BROADWAY,DE KALB AVE,HART,LEWIS AVE,MALCOLM X BLVD,MYRTLE AVE,PULASKI,REID AVE,STOCKTON,STUYVESANT AVE,VERNON AVE,WILLOUGHBY AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,BROADWAY,DE KALB AVE,KOSCIUSKO,KOSCIUSZKO,KOSSUTH PL,LAFAYETTE AVE,LEWIS AVE,PATCHEN AVE,REID,REID AVE,STUYVESANT AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,LEWIS AVE,MYRTLE AVE,STOCKTON,THROOP AVE,TOMPKINS AVE,VERNON AVE,WILLOUGHBY AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,DE KALB AVE,HART,KOSCIUSKO,LAFAYETTE AVE,LEWIS AVE,PULASKI,THROOP AVE,TOMPKINS AVE,WILLOUGHBY AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,DE KALB AVE,HART,MARCY AVE,NOSTRAND AVE,PULASKI,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,BEDFORD AVE,DE KALB AVE,KOSCIUSKO,KOSCIUSZKO,LAFAYETTE AVE,MARCY AVE,NOSTRAND AVE,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,BEDFORD AVE,MARCY AVE,MYRTLE AVE,NOSTRAND AVE,SANDFORD,SPENCER,TOMPKINS AVE,VERNON AVE,WALWORTH,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,BEDFORD AVE,DE KALB AVE,HART,MARCY AVE,NOSTRAND AVE,SANDFORD,SPENCER,TOMPKINS AVE,WALWORTH,WILLOUGHBY AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,BEDFORD AVE,FLUSHING AVE,MYRTLE AVE,NOSTRAND AVE,PARK AVE,SANDFORD,SPENCER,WALWORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,ELLERY,FLUSHING AVE,HOPKINS,MARCY AVE,NOSTRAND AVE,PARK AVE,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,FLOYD,MARCY AVE,MYRTLE AVE,NOSTRAND AVE,PARK AVE,SANDFORD,STOCKTON,VERNON AVE,WALWORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,DELMONICO PL,ELLERY,FLUSHING AVE,HOPKINS,PARK AVE,THROOP AVE,TOMPKINS AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,FLOYD,MARCY AVE,MYRTLE AVE,PARK AVE,STOCKTON,THROOP AVE,TOMPKINS AVE,VERNON AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,BROADWAY,ELLERY,FLUSHING AVE,HOPKINS,PARK AVE,THROOP AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,BROADWAY,FLOYD,LEWIS AVE,PARK AVE,STOCKTON,THROOP AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,4 AVE,5 AVE,ATLANTIC AVE,BERGEN,DEAN,FLATBUSH AVE,PACIFIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,4 AVE,5 AVE,6 AVE,BALTIC,BERGEN,FLATBUSH AVE,S. PROSPECT PL,SAINT MARKS AVE,SAINT MARKS PL,WARREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,BALTIC,BUTLER,DOUGLASS,FLATBUSH AVE,PARK PL,S. PROSPECT PL,SAINT JOHNS PL,STERLING PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,CARROLL,DEGRAW,DOUGLASS,FISKE PL,FLATBUSH AVE,GARFIELD PL,LINCOLN PL,MACOMB,MONTGOMERY,POLHEMUS PL,PRESIDENT,PROSPECT PARK GRAND ARMY PLZ,SACKETT,SAINT JOHNS PL,UNION,W PLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,1,1 AVE,10,11,12,13,2,2 AVE,3,3 AVE,4,4 AVE,5,5 AVE,6,6 AVE,7,7 AVE,8,8 AVE,9,GARFIELD PL,HAMILTON AVE,MACOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1 AVE,10,11,2 AVE,3 AVE,4 AVE,5 AVE,6 AVE,7 AVE,8,8 AVE,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,1 AVE,11,12,2 AVE,3 AVE,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,1 AVE,12,13,2 AVE,3 AVE,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,1 AVE,13,14,15,16,2 AVE,3 AVE,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,HAMILTON AVE,PROSPECT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,10 AVE,11 AVE,13,14,15,16,3 AVE,4 AVE,5 AVE,6 AVE,7 AVE,8 AVE,9 AVE,BRAXTON,FULLER PL,HOWARD PL,JACKSON PL,PROSPECT AVE,PROSPECT PARK SOUTH WEST,SHERMAN,W PROSPECT,WEBSTER PL,WINDSOR PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,ALBANY AVE,ANDREW PL,BKLYN AVE,DECATUR,FULTON,HALSEY,HERKIMER,KINGSTON AVE,MACON,MARCY AVE,MCDONOUGH,NEW YORK AVE,THROOP AVE,TOMPKINS AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,ARLINGTON PL,BEDFORD AVE,FULTON,HALSEY,HANCOCK,HERKIMER,HERKIMER PL,JEFFERSON AVE,MACON,MARCY AVE,NEW YORK AVE,NOSTRAND AVE,PERRY PL,VERONA PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,BEDFORD AVE,GATES AVE,MARCY AVE,MONROE,NOSTRAND AVE,QUINCY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,BEDFORD AVE,JEFFERSON AVE,MADISON,MARCY AVE,MONROE,NOSTRAND AVE,PUTNAM AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,GATES AVE,LEXINGTON AVE,MARCY AVE,MONROE,QUINCY,THROOP AVE,TOMPKINS AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,HALSEY,HANCOCK,JEFFERSON AVE,MACON,MADISON,MARCY AVE,MONROE,PUTNAM AVE,THROOP AVE,TOMPKINS AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,MARCY AVE,THROOP AVE,TOMPKINS AVE,VAN BUREN,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,BEDFORD AVE,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,MARCY AVE,NOSTRAND AVE,QUINCY,VAN BUREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,BERGEN,BKLYN AVE,BROOKLYN AVE,BUTLER,CANARSIE AVE,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,EAST PKWY,MALBONE,MONTGOMERY,NEW YORK AVE,NOSTRAND AVE,PACIFIC,PARK PL,PARK WAY,PRESIDENT,PROSPECT PL,SAINT MARKS AVE,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,BEDFORD AVE,BERGEN,BUTLER,CARROLL,CEDAR PL,CROWN,DEAN,DEARBORN CT,DEGRAW,DOUGLASS,EAST PKWY,FRANKLIN AVE,MC KEEVER PL,MONTGOMERY,NOSTRAND AVE,OLD BEDFORD RD,PACIFIC,PARK PL,PRESIDENT,PROSPECT PL,ROGERS AVE,SAINT JOHNS PL,SAINT MARKS AVE,STERLING PL,SULLIVAN PL,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,ALBANY AVE,BERGEN,BKLYN AVE,BROOKLYN AVE,BUTLER,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,EAST PKWY,HUDSON AVE,KINGSTON AVE,MALBONE,MONTGOMERY,PACIFIC,PARK PL,PRESIDENT,PROSPECT PL,SAINT MARKS AVE,SCHNECTADY AVE,TROY AVE,UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,ATLANTIC AVE,BERGEN,BUFFALO AVE,BUTLER,CARROLL,CROWN,DEAN,DEGRAW,DOUGLASS,EAST PKWY,EASTERN PKWY,HOPKINSON,HOPKINSON AVE,HOWARD AVE,LINCOLN PL,MALBONE,MARKS AVE,MONTGOMERY,MOTHER GASTON BLVD,PACIFIC,PARK PL,PRESIDENT,PROSPECT PL,RALPH AVE,ROCHESTER AVE,ROCKAWAY AVE,SACKMAN,SAINT JOHNS PL,SAINT MARKS AVE,SARATOGA AVE,SCHNECTADY AVE,STONE AVE,TAPSCOTT AVE,UNION,UTICA AVE,VAN SINDEREN AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,GATES AVE,GREENE AVE,JEFFERSON AVE,LAFAYETTE AVE,LEXINGTON AVE,MADISON,MONROE,PUTNAM AVE,QUINCY,REID AVE,STUYVESANT AVE,VAN BUREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,GATES AVE,GREENE AVE,HALSEY,HANCOCK,JEFFERSON AVE,LAFAYETTE AVE,LEWIS AVE,LEXINGTON AVE,MADISON,MONROE,PUTNAM AVE,QUINCY,STUYVESANT AVE,VAN BUREN,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,ALBANY AVE,BAINBRIDGE,CHAUNCEY,DECATUR,FULTON,HALSEY,HERKIMER,LEWIS AVE,MACON,MCDONOUGH,SCHNECTADY AVE,STUYVESANT AVE,TROY AVE,YATES AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,BAINBRIDGE,DECATUR,HALSEY,HANCOCK,JEFFERSON AVE,MACON,MADISON,MCDONOUGH,PATCHEN AVE,PUTNAM AVE,REID AVE,STUYVESANT AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,BAINBRIDGE,BUFFALO AVE,CHAUNCEY,FELLOW PL,FULTON,HERKIMER,HUNTERFLY PL,MARION,PATCHEN AVE,REID AVE,ROCHESTER AVE,SCHNECTADY AVE,STUYVESANT AVE,SUMPTER,SUYDAM PL,UTICA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,BROADWAY,GATES AVE,GREENE AVE,LAFAYETTE AVE,LEXINGTON AVE,MADISON,MONROE,PATCHEN AVE,QUINCY,RALPH AVE,REID AVE,VAN BUREN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,BAINBRIDGE,CHAUNCEY,DECATUR,FULTON,HALSEY,HANCOCK,JEFFERSON AVE,MACDOUGAL,MACON,MADISON,MARION,MCDONOUGH,PATCHEN AVE,PUTNAM AVE,RALPH AVE,SUMPTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,ATLANTIC AVE,BAINBRIDGE,BANCROFT PL,BROADWAY,BROADWAY AVE,BROOKLYN JAMAICA TURNPIKE,BUFFALO AVE,CHAUNCEY,COLUMBUS PL,COOPER PL,DECATUR,FULTON,GATES AVE,GUNTHER PL,HALSEY,HANCOCK,HAVENS PL,HERKIMER,HOPKINSON,HOPKINSON AVE,HOWARD AVE,HULL,JARDINE PL,JEFFERSON AVE,KANE PL,LOUIS PL,MACDONOUGH,MACDOUGAL,MACON,MADISON,MARION,MCDONOUGH,MONACO PL,MONROE,OCEAN PL,PLEASANT PL,PRESCOTT PL,PUTNAM AVE,QUINCY,RADDE PL,RALPH AVE,ROCKAWAY AVE,RUSSELL PL,SACKMAN,SARATOGA AVE,SHERLOCK PL,SOMERS,STONE,STONE AVE,STONE AVW,SUMPTER,TRUXTON,VAN SINDEREN AVE,WILLIAMS PL
